id,QA,line
18101,11,We'll talk later.
18201,11,Yeah. Thank you.
18301,11,That wasn't a real date?! What the hell do you do on a real date?
18401,11,"Shut up, and put my table back."
18501,11,Okayyy!
18601,11,"Alright, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference..."
18701,11,"So, like, you guys all have jobs?"
18801,11,"Yeah, we all have jobs. See, that's how we buy stuff."
18901,11,"Yeah, I'm an actor."
19001,11,Wow! Would I have seen you in anything?
19101,11,I doubt it. Mostly regional work.
19201,11,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park."
19301,11,"Look, it was a job all right?"
19401,11,"'Look, Gippetto, I'm a real live boy.'"
19501,11,I will not take this abuse.
19601,11,"You're right, I'm sorry. Once I was a wooden boy, a little wooden boy..."
19701,11,"You should both know, that he's a dead man. Oh, Chandler?"
19801,11,So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.
19901,11,I can see that. You look like you slept with a hanger in your mouth.
20001,11,"I know, he's just so, so... Do you remember you and Tony DeMarco?"
20101,11,"Oh, yeah."
20201,11,"Well, it's like that. With feelings."
20301,11,Oh wow. Are you in trouble.
20401,11,Big time!
20501,11,Want a wedding dress? Hardly used.
20601,11,"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work."
20701,11,"Oh, look, wish me luck!"
20801,11,What for?
20901,11,I'm gonna go get one of those job things.
21001,12,"Hey, Monica!"
21101,12,"Hey Frannie, welcome back! How was Florida?"
21201,12,"You had sex, didn't you?"
21301,12,How do you do that?
21401,12,"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?"
21501,12,You know Paul?
21601,12,"Paul the Wine Guy? Oh yeah, I know Paul."
21701,12,You mean you know Paul like I know Paul?
21801,12,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years."
21901,13,Of course it was a line!
22001,13,"Why?! Why? Why, why would anybody do something like that?"
22101,13,I assume we're looking for an answer more sophisticated than 'to get you into bed'.
22201,13,I hate men! I hate men!
22301,13,"Oh no, don't hate, you don't want to put that out into the universe."
22401,13,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?
22501,13,"Alright, c'mere, gimme your feet."
22601,13,"I just thought he was nice, y'know?"
22701,13,I can't believe you didn't know it was a line!
22801,13,Guess what?
22901,13,You got a job?
23001,13,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.
23101,13,And yet you're surprisingly upbeat.
23201,13,"You would be too if you found John and David boots on sale, fifty percent off!"
23301,13,"Oh, how well you know me..."
23401,13,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!"
23501,13,How'd you pay for them?
23601,13,"Uh, credit card."
23701,13,And who pays for that?
23801,13,Um... my... father.
23901,14,"Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want."
24001,14,"C'mon, you can't live off your parents your whole life."
24101,14,I know that. That's why I was getting married.
24201,14,"Give her a break, it's hard being on your own for the first time."
24301,14,Thank you.
24401,14,"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel."
24501,14,The word you're looking for is 'Anyway'...
24601,14,"Alright, you ready?"
24701,14,"No. No, no, I'm not ready! How can I be ready? Hey, Rach! You ready to jump out the airplane without your parachute? Come on, I can't do this!"
24801,14,"You can, I know you can!"
24901,14,I don't think so.
25001,14,"Come on, you made coffee! You can do anything!"
25101,14,"C'mon, cut. Cut, cut, cut,..."
25201,14,"Cut, cut, cut, cut, cut, cut, cut..."
25301,14,Y'know what? I think we can just leave it at that. It's kinda like a symbolic gesture...
25401,14,Rachel! That was a library card!
25501,14,"Cut, cut, cut, cut, cut, cut, cut.."
25601,14,"Y'know, if you listen closely, you can hear a thousand retailers scream."
25701,14,Welcome to the real world! It sucks. You're gonna love it!
25801,14,"Well, that's it You gonna crash on the couch?"
25901,14,"No. No, I gotta go home sometime."
26001,14,You be okay?
26101,14,Yeah.
26201,14,"Hey Mon, look what I just found on the floor. What?"
26301,14,"That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody."
26401,14,Goodnight.
26501,14,"Mmm. Oh, no"
26601,14,sorry
26701,14,"No no no, go"
26801,14,"No, you have it, really, I don't want it"
26901,14,Split it?
27001,14,Okay.
27101,14,"Okay. You know you probably didn't know this, but back in high school, I had a, um, major crush on you."
27201,14,I knew.
27301,14,You did! Oh... I always figured you just thought I was Monica's geeky older brother.
27401,14,I did.
27501,14,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?"
27601,14,"Yeah, maybe..."
27701,14,"Okay... okay, maybe I will..."
27801,14,Goodnight.
27901,14,Goodnight.
28001,14,"See ya... Wait wait, what's with you?"
28101,14,I just grabbed a spoon.
28201,15,I can't believe what I'm hearing here.
28301,15,I can't believe what I'm hearing here...
28401,15,What? I said you had a
28501,15,What I said you had...
28601,15,Would you stop?
28701,15,"Oh, was I doing it again?"
28801,15,Yes!
28901,15,"I said that you had a nice butt, it's just not a great butt."
29001,15,"Oh, you wouldn't know a great butt if it came up and bit ya."
29101,15,There's an image.
29201,15,Would anybody like more coffee?
29301,15,"Did you make it, or are you just serving it?"
29401,15,I'm just serving it.
29501,15,"Yeah. Yeah, I'll have a cup of coffee."
29601,15,"Kids, new dream... I'm in Las Vegas."
29701,15,"Ahh, miss? More coffee?"
29801,15,"Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, Las Vegas."
29901,15,"Okay, so, I'm in Las Vegas... I'm Liza Minelli"
30001,16,"What you guys don't understand is, for us, kissing is as important as any part of it."
30101,16,"Yeah, right!...Y'serious?"
30201,16,"Oh, yeah!"
30301,16,Everything you need to know is in that first kiss.
30401,16,Absolutely.
30501,16,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand up comedian you have to sit through before Pink Floyd comes out."
30601,16,"Yeah, and it's not that we don't like the comedian, it's that that... that's not why we bought the ticket."
30701,16,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
30801,16,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone."
30901,16,...Are we still talking about sex?
31001,17,"No, it's good, it is good, it's just that mm- doesn't she seem a little angry?"
31101,17,"Well, she has issues."
31201,17,Does she.
31301,17,"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!"
31401,17,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?"
31501,17,"Speaking of issues, isn't that your ex-wife?"
31601,17,No. No.
31701,17,"Yes, it is. Carol! Hi!"
31801,17,"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age."
31901,17,Hi.
32001,17,So.
32101,17,"You look great. I, uh... I hate that."
32201,17,Sorry. You look good too.
32301,17,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh..."
32401,17,A lesbian?
32501,17,"Well... you never know. How's, um.. how's the family?"
32601,17,"Marty's still totally paranoid. Oh, and, uh"
32701,17,"Why- why are you here, Carol?"
32801,17,I'm pregnant.
32901,17,Pregnant?!
33001,18,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding."
33101,18,...Then I've already seen this one!
33201,18,Are you through with that?
33301,18,"Yeah, sorry, the swallowing slowed me down."
33401,18,Whose little ball of paper is this?!
33501,18,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and...now I wish I was dead."
33601,18,"She's already fluffed that pillow... Monica, you know, you've already fluffed that -but, it's fine!"
33701,18,"Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have."
33801,18,"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow."
33901,18,"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way."
34001,18,"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come."
34101,18,"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born."
34201,18,"Ew, ew, ew, ew ew ew ew ew!"
34301,18,What?
34401,18,Ugly Naked Guy got a Thighmaster!
34501,18,Eeaagh!
34601,18,Has anybody seen my engagement ring?
34701,18,"Yeah, it's beautiful."
34801,18,"Oh God, oh God, oh God oh God oh God oh God..."
34901,18,"No, look, don't touch that!"
35001,18,"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder..."
35101,18,"Easy Rach, we'll find it. Won't we!"
35201,18,Oh! Yeah!
35301,18,"Alright, when'd'ya have it on last?"
35401,18,Doy! Probably right before she lost it!
35501,18,You don't get a lot of 'doy' these days...
35601,18,"I know I had it this morning, and I know I had it when I was in the kitchen with..."
35701,18,...Dinah?
35801,18,"Ohhhh, don't be mad..."
35901,18,You didn't.
36001,18,"Oh, I am sorry..."
36101,18,I gave you one job!
36201,18,"Oh, but look how straight those noodles are!"
36301,18,"Now, Monica, you know that's not how you look for an engagement ring in a lasagne..."
36401,18,I just... can't do it.
36501,18,Boys? We're going in.
36601,18,...Hi.
36701,18,Wow. That is not a happy hi.
36801,18,Carol's pregnant.
36901,18,Ooh! I found it!
37001,18,W-w-wh-... wha-... w-w-w-...
37101,18,"Yeah. Do that for another two hours, you might be where I am right about now."
37201,18,"Kinda puts that whole pillow thing in perspective, huh, Mon?"
37301,18,"Well now, how do you fit into this whole thing?"
37401,18,"Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me."
37501,18,She is so great! I miss her.
37601,18,What does she mean by 'involved'?
37701,18,"I mean presumably, the biggest part of your job is done."
37801,18,"Anyway, they want me to go down to this sonogram thing with them tomorrow."
37901,18,So what are you gonna do?
38001,18,"I have no idea. No matter what I do, though, I'm still gonna be a father."
38101,18,"...Well, this is still ruined, right?"
38201,19,"Oh, Martha Ludwin's daughter is gonna call you. Mmm! What's that curry taste?"
38301,19,Curry.
38401,19,mmm!
38501,19,"I think they're great! I, I really do."
38601,19,"Do you remember the Ludwins? The big one had a thing for you, didn't she?"
38701,19,They all had a thing for him.
38801,19,"Aw, Mom..."
38901,19,"I'm sorry, why is this girl going to call me?"
39001,19,"Oh, she just graduated, and she wants to be something in cooking, or food, or... I don't know. Anyway, I told her you had a restaurant"
39101,19,"No Mom, I don't have a restaurant, I work in a restaurant."
39201,19,"Well, they don't have to know that..."
39301,19,"Ross, could you come and help me with the spaghetti, please?"
39401,19,Yeah.
39501,19,"Oh, we're having spaghetti! That's... easy."
39601,19,"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me."
39701,19,"What that Rachel did to her life... We ran into her parents at the club, they were not playing very well."
39801,19,I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!
39901,19,"Well, at least she had the chance to leave a man at the altar..."
40001,19,What's that supposed to mean?
40101,19,Nothing! It's an expression.
40201,19,No it's not.
40301,19,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles..."
40401,19,"Look, there are people like Ross who need to shoot for the stars, with his museum, and his papers getting published. Other people are satisfied with staying where they are I'm telling you, these are the people who never get cancer."
40501,19,"...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem."
40601,19,"So, Ross, what's going on with you? Any stories? No news, no little anecdotes to share with the folks?"
40701,19,"Okay! Okay. Look, I, uh I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby."
40801,19,And you knew about this?!
40901,20,"Your folks are really that bad, huh?"
41001,20,"Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done."
41101,20,"Boy, I know they say you can't change your parents,... boy, if you could -I'd want yours."
41201,20,Must pee.
41301,20,"Y'know, it's even worse when you're twins."
41401,20,You're twins?
41501,20,"Yeah. We don't speak. She's like this high-powered, driven career type."
41601,20,What does she do?
41701,20,She's a waitress.
41801,20,"Alright, you guys, I kinda gotta clean up now."
41901,20,"Chandler, you're an only child, right? You don't have any of this."
42001,20,"Well, no, although I did have an imaginary friend, who... my parents actually preferred."
42101,20,"The lights, please.."
42201,20,...How long was I in there?
42301,20,I'm just cleaning up.
42401,20,D'ya.. uh.. d'ya need any help?
42501,20,"Uh.. okay, sure! Thanks!"
42601,20,"Anyway.. um.. So, you uh you nervous about Barry tomorrow?"
42701,20,Oh.. a little..
42801,20,Mm-hmm..
42901,20,A lot.
43001,20,Mm.
43101,20,"So, got any advice? Y'know, as someone who's recently been dumped?"
43201,20,"Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN..."
43301,20,"Oh, you've got Carol tomorrow.. When did it get so complicated?"
43401,20,Got me.
43501,20,Remember when we were in high school together?
43601,20,Yeah.
43701,20,"I mean, didn't you think you were just gonna meet someone, fall in love- and that'd be it? ..Ross?"
43801,20,"Yes, yes!"
43901,20,"Oh! Man, I never thought I'd be here.."
44001,20,Me either...
44101,21,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway."
44201,21,Hi.
44301,21,"Ross, you remember Susan."
44401,21,How could I forget?
44501,21,Ross.
44601,21,"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?"
44701,21,Dr. Oberman.
44801,21,..Dr. Oberman. Okay. And is he
44901,21,She.
45001,21,"she, of course, she- uh familiar with our.. special situation?"
45101,21,"Yes, and she's very supportive."
45201,21,"Okay, that's great. No, I'm Oh."
45301,21,Thanks.
45401,21,"Quack, quack.."
45501,21,Ross? That opens my cervix.
45601,22,Barry?
45701,22,C'mon in.
45801,22,Are you sure?
45901,22,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours."
46001,22,Huh?!
46101,22,"So, how ya doin?"
46201,22,I'm uh I'm okay... You look great!
46301,22,"Yeah, well.."
46401,22,"Dr. Farber, Jason Greenstein's gagging."
46501,22,Be right there. Be back in a sec.
46601,22,I dumped him.
46701,22,Okay.
46801,23,"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?"
46901,23,Give me a 'for instance'.
47001,23,"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?"
47101,23,Marlon
47201,23,Marlon?!
47301,23,"if it's a boy, Minnie if it's a girl."
47401,23,...As in Mouse?
47501,23,As in my grandmother.
47601,23,"Still, you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?"
47701,23,Julia..
47801,23,We agreed on Minnie.
47901,23,"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?"
48001,24,Sorry about that. So. What have you been up to?
48101,24,"Oh, not much. I got a job."
48201,24,"Oh, that's great."
48301,24,Why are why are you so tanned?
48401,24,"Oh, I, uh I went to Aruba."
48501,24,Oh no. You went on our honeymoon alone?
48601,24,"No. I went with, uh.. Now, this may hurt."
48701,24,Me?!
48801,24,No! I went with Mindy.
48901,24,"Mindy?! My maid of honour, Mindy?!"
49001,24,"Yeah, well, uh, we're kind of a thing now."
49101,24,"Oh! Well, um.. You've got plugs!"
49201,24,Careful! They haven't quite taken yet.
49301,24,And you've got lenses! But you hate sticking your finger in your eye!
49401,24,"Not for her. Listen, I really wanted to thank you."
49501,24,Okay..
49601,24,"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist."
49701,24,Wow.
49801,24,"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit."
49901,24,What?
50001,24,Me.
50101,24,"Anyway, um, I guess this belongs to you. And thank you for giving it to me."
50201,24,"Well, thank you for giving it back."
50301,24,Hello?!
50401,25,"Oh, please! What's wrong with Helen?"
50501,25,Helen Geller? I don't think so.
50601,25,Hello? It's not gonna be Helen Geller.
50701,25,Thank you!
50801,25,"No, I mean it's not Geller."
